epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,239.018,1.32914,0.76077,1.10496,0.71417,0.64272,0.60709,0.28226,1.87404,0.9508,1.39586,0.000999871,0.000999871,0.000999871
93,241.413,1.34492,0.75757,1.1164,0.73439,0.66877,0.604,0.2779,1.8987,0.94112,1.41154,0.000995156,0.000995156,0.000995156
94,243.893,1.33347,0.75928,1.09581,0.6954,0.65089,0.60715,0.27739,1.91351,0.93724,1.43063,0.00099044,0.00099044,0.00099044
95,246.359,1.27548,0.74625,1.08242,0.69103,0.65089,0.60481,0.2827,1.89095,0.91265,1.41655,0.000985724,0.000985724,0.000985724
96,248.931,1.26536,0.73026,1.07771,0.68532,0.65649,0.60515,0.28671,1.85544,0.93282,1.38237,0.000981008,0.000981008,0.000981008
97,251.433,1.30736,0.73814,1.0751,0.68238,0.66059,0.60088,0.28701,1.86436,0.95083,1.38616,0.000976293,0.000976293,0.000976293
98,253.57,1.27828,0.71643,1.07525,0.69451,0.67841,0.60741,0.28752,1.86854,0.94931,1.39408,0.000971577,0.000971577,0.000971577
99,255.676,1.26838,0.69363,1.05381,0.68112,0.65688,0.57318,0.27135,1.9067,0.95641,1.41116,0.000966861,0.000966861,0.000966861
100,257.947,1.26896,0.70061,1.08037,0.69559,0.67697,0.58055,0.27156,1.92714,0.93802,1.41957,0.000962146,0.000962146,0.000962146
101,260.294,1.31771,0.7083,1.07407,0.64905,0.66659,0.57087,0.2772,1.88978,0.92803,1.41086,0.00095743,0.00095743,0.00095743
102,262.4,1.30803,0.7166,1.07326,0.65242,0.67752,0.58095,0.28062,1.85465,0.91117,1.38888,0.000952714,0.000952714,0.000952714
103,264.574,1.2466,0.69487,1.06337,0.68541,0.61885,0.5654,0.2719,1.86641,0.93675,1.38851,0.000947999,0.000947999,0.000947999
104,266.776,1.27051,0.70689,1.04734,0.64821,0.67573,0.57238,0.27758,1.85632,0.93004,1.38871,0.000943283,0.000943283,0.000943283
105,268.903,1.25662,0.70971,1.06621,0.65818,0.66875,0.59098,0.28843,1.8467,0.9088,1.39559,0.000938567,0.000938567,0.000938567
106,271.049,1.2978,0.70358,1.08815,0.64751,0.65649,0.59307,0.29108,1.83612,0.90267,1.39735,0.000933851,0.000933851,0.000933851
