epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,341.34,0.86955,0.47748,1.00676,0.98101,0.96747,0.98481,0.66141,1.2723,0.52238,1.24253,0.00101237,0.00101237,0.00101237
121,344.139,0.86797,0.47626,1.01479,0.93656,0.97959,0.97964,0.65618,1.30363,0.54668,1.25947,0.00100687,0.00100687,0.00100687
122,346.993,0.89234,0.49258,1.01377,0.94196,0.97959,0.97909,0.6485,1.33278,0.55405,1.27162,0.00100137,0.00100137,0.00100137
123,349.772,0.89079,0.48188,1.00211,0.95751,0.96551,0.98011,0.65209,1.29912,0.54989,1.24553,0.000995866,0.000995866,0.000995866
124,352.523,0.87382,0.47901,0.99641,0.95934,0.96648,0.98559,0.65524,1.26235,0.52361,1.23074,0.000990365,0.000990365,0.000990365
125,355.311,0.86463,0.4792,0.99364,0.94358,0.98225,0.98647,0.65878,1.26449,0.52471,1.23924,0.000984864,0.000984864,0.000984864
126,358.104,0.88822,0.48731,1.0145,0.92965,0.97613,0.98649,0.65866,1.27959,0.52456,1.23978,0.000979362,0.000979362,0.000979362
127,360.89,0.88275,0.48818,1.00731,0.94798,0.98449,0.98814,0.65605,1.25579,0.52323,1.22504,0.000973861,0.000973861,0.000973861
128,363.656,0.87155,0.48484,1.00679,0.95375,0.96065,0.98842,0.65588,1.26242,0.52227,1.23697,0.00096836,0.00096836,0.00096836
129,366.436,0.83144,0.47658,0.99378,0.96646,0.96247,0.98835,0.66111,1.30149,0.52741,1.25515,0.000962859,0.000962859,0.000962859
130,369.227,0.8592,0.47371,0.99867,0.96742,0.96956,0.98893,0.65518,1.29363,0.52601,1.25457,0.000957358,0.000957358,0.000957358
131,371.983,0.83506,0.47389,0.98369,0.96111,0.97607,0.9884,0.66189,1.26965,0.5225,1.24862,0.000951857,0.000951857,0.000951857
132,374.794,0.83492,0.47696,0.99027,0.94926,0.98724,0.9886,0.65316,1.28042,0.52512,1.24005,0.000946356,0.000946356,0.000946356
133,377.634,0.8307,0.46919,0.98537,0.96292,0.98022,0.98653,0.66202,1.26742,0.52402,1.2323,0.000940855,0.000940855,0.000940855
134,380.479,0.83539,0.46779,0.99009,0.96656,0.96995,0.98517,0.66487,1.25739,0.52318,1.23834,0.000935354,0.000935354,0.000935354
135,383.253,0.8438,0.46517,0.99344,0.97111,0.94025,0.9865,0.65878,1.24217,0.51566,1.22587,0.000929853,0.000929853,0.000929853
